"time","x","y","der(x)","der(y)"
12.136,0.7395875177797373,2.025802009198479,2.025802009198479,-0.4642747628473757
12.138,0.7436382091284963,2.024865667295227,2.024865667295227,-0.4721023782744982
12.14,0.7476870124212335,2.023913654319995,2.023913654319995,-0.4799450144051162
12.142,0.7517338962488376,2.02294594038448,2.02294594038448,-0.4878024763764073
12.144,0.7557788291371704,2.021962495992162,2.021962495992162,-0.4956745675920491
12.146,0.759821779547509,2.02096329204194,2.02096329204194,-0.5035610897287031
12.148,0.763862715877019,2.019948299831752,2.019948299831752,-0.5114618427427763
12.15,0.7679016064592271,2.018917491062209,2.018917491062209,-0.5193766248773939
12.152,0.7719384195644593,2.01787083784022,2.01787083784022,-0.5273052326695283
12.154,0.7759731234003304,2.016808312682615,2.016808312682615,-0.5352474609574415
12.156,0.7800056861121836,2.015729888519782,2.015729888519782,-0.5432031028882494
12.158,0.7840360757835614,2.014635538699292,2.014635538699292,-0.5511719499257683
12.16,0.7880642604366805,2.013525236989521,2.013525236989521,-0.5591537918585872
12.162,0.7920902080328718,2.012398957583285,2.012398957583285,-0.567148416808291
12.164,0.7961138864730537,2.011256675101463,2.011256675101463,-0.5751556112379728
12.166,0.8001352635982053,2.010098364596627,2.010098364596627,-0.583175159960963
12.168,0.8041543071898043,2.008924001556672,2.008924001556672,-0.5912068461497137
12.17,0.8081709849703169,2.007733561908437,2.007733561908437,-0.5992504513450065
12.172,0.8121852646036365,2.006527022021342,2.006527022021342,-0.6073057554652804
12.174,0.8161971136955558,2.005304358711007,2.005304358711007,-0.6153725368162504
12.176,0.8202064997942404,2.004065549242886,2.004065549242886,-0.6234505721007508
12.178,0.8242133903906699,2.002810571335892,2.002810571335892,-0.6315396364287374
12.18,0.8282177529191105,2.001539403166026,2.001539403166026,-0.6396395033275781
12.182,0.8322195547575888,2.000252023370003,2.000252023370003,-0.6477499447525658
12.184,0.8362187632283291,1.998948411048883,1.998948411048883,-0.6558707310975869
12.186,0.8402153455982437,1.997628545771694,1.997628545771694,-0.6640016312061179
12.188,0.8442092814276766,1.996292405486273,1.996292405486273,-0.6721424373973068
12.19,0.8482005380062828,1.994939970686102,1.994939970686102,-0.6802929158542677
12.192,0.8521890736431523,1.993571223856401,1.993571223856401,-0.688452813094228
12.194,0.8561748556659808,1.992186146427337,1.992186146427337,-0.696621892477562
12.196,0.8601578513607523,1.990784720313271,1.990784720313271,-0.7047999158989917
12.198,0.8641380279724135,1.989366927916349,1.989366927916349,-0.7129866438004595
12.2,0.8681153527055099,1.987932752130103,1.987932752130103,-0.7211818351841459
12.202,0.8720897927248781,1.986482176343037,1.986482176343037,-0.7293852476258276
12.204,0.8760613151562817,1.985015184442231,1.985015184442231,-0.737596637288347
12.206,0.8800298870870858,1.983531760816925,1.983531760816925,-0.7458157589353839
12.208,0.883995475566929,1.982031890362117,1.982031890362117,-0.754042365945448
12.21,0.8879580476083651,1.980515558482158,1.980515558482158,-0.7622762103260333
12.212,0.8919175701875349,1.978982751094345,1.978982751094345,-0.7705170427280593
12.214,0.8958740102448414,1.977433454632515,1.977433454632515,-0.7787646124605414
12.216,0.8998273346855846,1.975867656050638,1.975867656050638,-0.7870186675054046
12.218,0.9037775103806548,1.97428534282641,1.97428534282641,-0.7952789545326384
12.22,0.9077245041671684,1.972686502964851,1.972686502964851,-0.8035452189155579
12.222,0.9116682828491421,1.971071125001899,1.971071125001899,-0.8118172047463651
12.224,0.9156088131981641,1.969439198007994,1.969439198007994,-0.8200946548519286
12.226,0.9195460619540374,1.967790711591686,1.967790711591686,-0.8283773108097242
12.228,0.9234799958254517,1.966125655903222,1.966125655903222,-0.8366649129640575
12.23,0.9274105814906557,1.964444021638135,1.964444021638135,-0.8449572004425087
12.232,0.9313377855980963,1.962745800040848,1.962745800040848,-0.8532539111725265
12.234,0.9352615747671076,1.961030982908261,1.961030982908261,-0.8615547818983468
