"time","$STATESET1.x","der($STATESET1.x)","der(x)","der(y)","x","y","$STATESET1.A[1]","$STATESET1.A[2]"
0,0.5122399993895521,0,0,0,0.9,0.5122399993895521,0,1
0.002,0.512241161036498,0.001161625998430855,0.0006733560107614987,0.001161625998430855,0.9000006733681807,0.512241161036498,0,1
0.004,0.5122446459099759,0.002323246399873821,0.001346708448722816,0.002323246399873821,0.900002693433348,0.5122446459099759,0,1
0.006,0.5122504539888562,0.003484855607374862,0.002020053741152882,0.003484855607374862,0.9000060601822688,0.5122504539888562,0,1
0.008,0.5122585852702457,0.004646448024013577,0.002693388315427315,0.004646448024013577,0.9000107736116242,0.5122585852702457,0,1
0.01,0.5122690395574642,0.005808018053051357,0.003366708599203269,0.005808018053051357,0.9000168336051068,0.5122690395574642,0,1
0.012,0.5122818168864955,0.006969560097730619,0.004040011020271465,0.006969560097730619,0.9000242401806211,0.5122818168864955,0,1
0.014,0.512296917271051,0.008131068561375542,0.00471329200668716,0.008131068561375542,0.9000329933425052,0.512296917271051,0,1
0.016,0.5123143407111304,0.009292537847413962,0.005386547986828157,0.009292537847413962,0.9000430930864936,0.5123143407111304,0,1
0.018,0.5123340860275034,0.01045396236083334,0.006059775390779087,0.01045396236083334,0.9000545387241097,0.5123340860275034,0,1
0.02,0.5123561535834035,0.01161533650528911,0.006732970647694497,0.01161533650528911,0.9000673304603348,0.5123561535834035,0,1
0.022,0.5123805436004791,0.0127766546845952,0.007406130187215391,0.0127766546845952,0.9000814684174248,0.5123805436004791,0,1
0.024,0.5124072560787305,0.01393791130296772,0.00807925043973221,0.01393791130296772,0.9000969525885009,0.5124072560787305,0,1
0.026,0.5124362910181576,0.01509910076479913,0.008752327836213689,0.01509910076479913,0.9001137829660327,0.5124362910181576,0,1
0.028,0.5124676484187601,0.0162602174746743,0.009425358808259367,0.0162602174746743,0.900131959541839,0.5124676484187601,0,1
0.03,0.5125013282805385,0.01742125583738654,0.01009833978815209,0.01742125583738654,0.9001514823070887,0.5125013282805385,0,1
0.032,0.5125373306034925,0.01858221025795364,0.01077126720891048,0.01858221025795364,0.9001723512523013,0.5125373306034925,0,1
0.034,0.5125756489268997,0.01974307515661611,0.01144413751818282,0.01974307515661611,0.9001945626223704,0.5125756489268997,0,1
0.036,0.5126162837789031,0.02090384494023751,0.0121169471518551,0.02090384494023751,0.9002181167126919,0.5126162837789031,0,1
0.038,0.5126592387146983,0.02206451400782016,0.01278969253919295,0.02206451400782016,0.9002430155726471,0.5126592387146983,0,1
0.04,0.5127045137342855,0.02322507676641448,0.0134623701175761,0.02322507676641448,0.9002692591901885,0.5127045137342855,0,1
0.042,0.5127521088376644,0.02438552762337588,0.0141349763253812,0.02438552762337588,0.900296847552627,0.5127521088376644,0,1
0.044,0.5128020240248351,0.0255458609863808,0.01480750760203406,0.0255458609863808,0.9003257806466337,0.5128020240248351,0,1
0.046,0.5128542592957978,0.02670607126344282,0.01547996038806198,0.02670607126344282,0.9003560584582417,0.5128542592957978,0,1
0.048,0.5129088146505522,0.02786615286292876,0.01615233112514593,0.02786615286292876,0.900387680972847,0.5129088146505522,0,1
0.05,0.5129656900890984,0.02902610019357467,0.01682461625617283,0.02902610019357467,0.9004206481752109,0.5129656900890984,0,1
0.052,0.5130248856114366,0.03018590766450202,0.0174968122252877,0.03018590766450202,0.9004549600494615,0.5130248856114366,0,1
0.054,0.5130864012175664,0.03134556968523371,0.01816891547794583,0.03134556968523371,0.9004906165790952,0.5130864012175664,0,1
0.056,0.5131502369074882,0.03250508066571021,0.01884092246096493,0.03250508066571021,0.9005276177469794,0.5131502369074882,0,1
