"time","$STATESET1.x","$STATESET2.x","der($STATESET1.x)","der($STATESET2.x)","der(vx)","der(vy)","der(x)","der(y)","F","vx","vy","x","y","$STATESET1.A[1]","$STATESET1.A[2]","$STATESET2.A[1]","$STATESET2.A[2]"
0,0,0,-9.81,0,-0,-9.81,0,-0,0,0,-0,0.5,0,1,0,0,1
0.002,-0.01961999995852744,-1.962000077448899e-05,-9.809999954684343,-0.01961999995852744,-0.001154833212237072,-9.809999954684343,-7.698888293562937e-07,-0.01961999995852744,0.001154833213126165,-7.698888293562937e-07,-0.01961999995852744,0.4999999996150556,-1.962000077448899e-05,1,0,0,1
0.004,-0.03923999867287531,-7.847999880506375e-05,-9.809999274949559,-0.03923999867287531,-0.004619332587217181,-9.809999274949559,-6.159110173785192e-06,-0.03923999867287531,0.004619332644119139,-6.159110173785192e-06,-0.03923999867287531,0.4999999938408898,-7.847999880506375e-05,1,0,0,1
0.006,-0.05885998716673459,-0.0001765799638598807,-9.809996329433728,-0.05885998716673459,-0.01039349528551662,-9.809996329433728,-2.078699010968692e-05,-0.05885998716673459,0.0103934959336651,-2.078699010968692e-05,-0.05885998716673459,0.4999999688195154,-0.0001765799638598807,1,0,0,1
0.008,-0.07847995753201051,-0.0003139198672812131,-9.80998839920424,-0.07847995753201051,-0.01847731647841571,-9.80998839920424,-4.927284541662132e-05,-0.07847995753201051,0.01847732012013634,-4.927284541662132e-05,-0.07847995753201051,0.4999999014543072,-0.0003139198672812131,1,0,0,1
0.01,-0.09809987092642868,-0.0004904994209155234,-9.80997167779187,-0.09809987092642868,-0.02887077262059571,-9.80997167779187,-9.623590606934491e-05,-0.09809987092642868,0.02887078651262574,-9.623590606934491e-05,-0.09809987092642868,0.4999997594102602,-0.0004904994209155234,1,0,0,1
0.012,-0.1177195893462825,-0.0007063176277153453,-9.80994127136945,-0.1177195893462825,-0.04157376911446158,-9.80994127136945,-0.0001662950080894988,-0.1177195893462825,0.04157381059554928,-0.0001662950080894988,-0.1177195893462825,0.4999995011151599,-0.0007063176277153453,1,0,0,1
0.014,-0.1373391793867116,-0.0009613749688164174,-9.809891198470737,-0.1373391793867116,-0.05658631214352736,-9.809891198470737,-0.0002640693867287425,-0.1373391793867116,0.05658641674269084,-0.0002640693867287425,-0.1373391793867116,0.4999990757573151,-0.0009613749688164174,1,0,0,1
0.016,-0.156958641047716,-0.001255671444218739,-9.809814390126613,-0.156958641047716,-0.07390838142220041,-9.809814390126613,-0.000394178209986015,-0.156958641047716,0.07390861448758566,-0.000394178209986015,-0.156958641047716,0.4999984232867382,-0.001255671444218739,1,0,0,1
0.018,-0.1765779743292958,-0.001589207053922311,-9.809702689763597,-0.1765779743292958,-0.09353996192809302,-9.809702689763597,-0.0005612407596658397,-0.1765779743292958,0.09354043441681123,-0.0005612407596658397,-0.1765779743292958,0.4999974744145612,-0.001589207053922311,1,0,0,1
