"time","F1.y","der(F1.y)","F1.u"
0.07199999999999999,0.9659185451483573,-0.4469903685130169,0.07193780812232353
0.074,0.96502592540788,-0.4455467221259511,0.07393248115597774
0.076,0.9641362044457622,-0.4441046729929782,0.0759268584598059
0.078,0.9632493822620036,-0.4426642251028511,0.07792093205630146
0.08,0.9623654588566043,-0.4412253824437158,0.0799146939691727
0.082,0.9614844315288676,-0.4397881476527465,0.08190813622337459
0.08400000000000001,0.9606062267987961,-0.4383524879768277,0.08390125084514082
0.08599999999999999,0.9597308938620762,-0.4369184320000303,0.08589402986201551
0.08799999999999999,0.9588584297960383,-0.4354859822465765,0.0878864653028853
0.09,0.957988831678013,-0.4340551412400009,0.08987854919801104
0.092,0.9571220965853304,-0.4326259115031353,0.09187027357905984
0.094,0.9562582215953214,-0.4311982955580922,0.09386163047913683
0.096,0.9553972037853162,-0.4297722959262496,0.09585261193281704
0.098,0.9545390402326452,-0.4283479151282339,0.09784320997617732
0.1,0.9536837280146394,-0.4269251556839057,0.09983341664682815
0.102,0.9528312642086286,-0.4255040201123416,0.1018232239839455
0.104,0.9519816458919437,-0.4240845109318205,0.1038126240283027
0.106,0.9511348701419151,-0.4226666306598065,0.1058016088223022
0.108,0.9502909340358729,-0.4212503818129327,0.1077901704100075
0.11,0.9494498346511482,-0.4198357669069867,0.1097783008371748
0.112,0.9486115690650712,-0.418422788456893,0.1117659921512852
0.114,0.9477761343549721,-0.4170114489766981,0.113753236401576
0.116,0.9469435126437494,-0.4156017435023383,0.1157400256390728
0.118,0.9461137043602206,-0.4141936762217996,0.1177263519166214
0.12,0.9452867133219722,-0.4127872530165264,0.1197122072889194
0.122,0.9444625362887266,-0.4113824762380894,0.1216975838125477
0.124,0.9436411700202059,-0.4099793482371014,0.1236824735460031
0.126,0.9428226112761324,-0.4085778713632016,0.1256668685497292
0.128,0.9420068568162282,-0.4071780479650398,0.1276507608861487
0.13,0.9411939034002155,-0.4057798803902603,0.1296341426196949
0.132,0.9403837477878162,-0.4043833709854864,0.1316170058168434
0.134,0.9395763867387529,-0.4029885220963044,0.1335993425461441
0.136,0.9387718170127475,-0.4015953360672473,0.1355811448782528
0.138,0.9379700353695223,-0.4002038152417798,0.1375624048859627
0.14,0.9371710385687991,-0.3988139619622813,0.1395431146442365
0.142,0.9363748233703006,-0.3974257785700315,0.1415232662302378
0.144,0.9355813865337488,-0.396039267405193,0.1435028517233628
0.146,0.9347907248188659,-0.3946544308067968,0.1454818632052723
0.148,0.9340028303550553,-0.3932712687975661,0.147460292759923
0.15,0.9332176902128818,-0.3918897788696413,0.1494381324735992
0.152,0.9324353122066698,-0.3905099688858625,0.1514153744349448
0.154,0.931655692911236,-0.3891318410881207,0.1533920107349945
0.156,0.9308788289013971,-0.3877553977170956,0.1553680334672059
0.158,0.9301047167519699,-0.3863806410122397,0.1573434347274905
0.16,0.9293333530377715,-0.3850075732117628,0.159318206614246
0.162,0.9285647343336184,-0.3836361965526155,0.1612923412283874
0.164,0.9277988572143276,-0.3822665132704743,0.163265830673379
0.166,0.9270357182547158,-0.380898525599725,0.1652386670552656
0.168,0.9262753140295998,-0.3795322357734477,0.1672108424827043
0.17,0.9255176411137965,-0.3781676460234003,0.169182349066996
0.172,0.9247626960821226,-0.3768047585800028,0.171153178922117
0.174,0.9240104755093951,-0.3754435756723223,0.1731233241647505
0.176,0.9232609759704306,-0.3740840995280562,0.1750927769143182
0.178,0.922514194040046,-0.3727263323735171,0.1770615292930117
0.18,0.9217701262930582,-0.371370276433617,0.1790295734258242
0.182,0.9210287642563402,-0.3700159314078793,0.1809969014405816
0.184,0.9202901079642496,-0.3686633012481375,0.1829635054679746
0.186,0.9195541545091512,-0.3673123884337808,0.1849293776415896
0.188,0.9188209004072587,-0.365963195154659,0.1868945100979407
0.19,0.9180903421747856,-0.3646157235991425,0.1888588949765006
0.192,0.9173624763279458,-0.3632699759541067,0.1908225244197324
0.194,0.9166372993829527,-0.3619259544049159,0.1927853905731209
0.196,0.9159148078560204,-0.3605836611354081,0.1947474855852042
0.198,0.9151949982633621,-0.3592430983278787,0.1967088016076048
0.2,0.9144778671211921,-0.3579042681630654,0.1986693307950612
0.202,0.9137634109457233,-0.356567172820132,0.2006290653054594
0.204,0.91305162625317,-0.3552318144766531,0.2025879972998638
0.206,0.9123425095597457,-0.3538981953085983,0.2045461189425492
0.208,0.9116360573816641,-0.3525663174903163,0.2065034224010315
0.21,0.9109322662351387,-0.3512361831945195,0.2084598998460996
0.212,0.9102311326363833,-0.3499077945922686,0.2104155434518462
0.214,0.9095326532131549,-0.3485811539087277,0.2123703453956995
0.216,0.908836824509723,-0.3472562633256343,0.2143242978584545
0.218,0.9081436429448908,-0.3459331249602935,0.2162773930243038
0.22,0.9074531050372299,-0.3446117409781803,0.2182296230808693
0.222,0.9067652073053124,-0.3432921135430395,0.2201809802192335
0.224,0.9060799462677105,-0.3419742448168701,0.2221314566339704
0.226,0.9053973184429961,-0.3406581369599095,0.224081044523177
0.228,0.9047173203497412,-0.3393437921306185,0.2260297360885042
0.23,0.9040399485065179,-0.3380312124856648,0.2279775235351884
0.232,0.9033651994318985,-0.336720400179908,0.2299243990720825
0.234,0.9026930696444544,-0.3354113573663838,0.2318703549116868
0.236,0.9020235556627582,-0.3341040861962887,0.2338153832701806
0.238,0.9013566540053815,-0.3327985888189641,0.2357594763674532
0.24,0.9006923611908965,-0.3314948673818809,0.2377026264271346
0.242,0.9000306737378752,-0.3301929240306239,0.2396448256766272
0.244,0.8993715881648897,-0.3288927609088765,0.2415860663471367
0.246,0.8987151002371799,-0.3275943797817386,0.2435263406737029
0.248,0.898061201106179,-0.326297780105474,0.245465640895231
0.25,0.897409892206315,-0.325002966475896,0.2474039592545229
0.252,0.8967611699873439,-0.3237099409945181,0.2493412879983077
0.254,0.8961150308990226,-0.3224187057608748,0.2512776193772729
0.256,0.8954714713911076,-0.321129262872506,0.2532129456460956
0.258,0.8948304879133554,-0.319841614424941,0.2551472590634734
0.26,0.8941920769155225,-0.3185557625116837,0.2570805518921551
0.262,0.8935562348473653,-0.3172717092241967,0.259012816398972
0.264,0.8929229581586408,-0.315989456651886,0.2609440448548687
0.266,0.8922922432991051,-0.3147090068820856,0.2628742295349339
0.268,0.8916640867185148,-0.3134303620000417,0.2648033627184314
0.27,0.8910384848666265,-0.3121535240888977,0.2667314366888311
0.272,0.8904154341931967,-0.3108784952296785,0.2686584437338398
0.274,0.8897949311479821,-0.3096052775012752,0.2705843761454317
0.276,0.8891769721807389,-0.3083338729804296,0.2725092262198798
0.278,0.8885615537412239,-0.3070642837417188,0.2744329862577863
0.28,0.8879486722791937,-0.30579651185754,0.2763556485641138
0.282,0.8873383242444044,-0.3045305593980945,0.2782772054482154
0.284,0.886730506086613,-0.3032664284313734,0.2801976492238663
0.286,0.8861252142555759,-0.302004121023141,0.2821169722092939
0.288,0.8855224452010494,-0.3007436392369203,0.2840351667272088
0.29,0.8849221953727904,-0.2994849851339774,0.2859522251048355
0.292,0.8843244612205552,-0.2982281607733061,0.2878681396739431
0.294,0.8837292391941003,-0.2969731682116122,0.2897829027708758
0.296,0.8831365257431824,-0.2957200095032992,0.2916965067365838
0.298,0.8825463173175578,-0.294468686700452,0.2936089439166538
0.3,0.8819586103669834,-0.2932192018528219,0.2955202066613395
0.302,0.8813734013412154,-0.2919715570078114,0.2974302873255927
0.304,0.8807906866900105,-0.2907257542104587,0.2993391782690932
0.306,0.8802104628631252,-0.2894817955034228,0.3012468718562797
0.308,0.879632726310316,-0.2882396829269678,0.3031533604563804
0.31,0.8790574734813393,-0.2869994185189479,0.3050586364434435
0.312,0.8784846933376416,-0.285761000570637,0.3069626921963676
0.314,0.8779143746284088,-0.2845244272647384,0.3088655200989321
0.316,0.8773465267675394,-0.2832897071138556,0.3107671125398281
0.318,0.8767811461271641,-0.2820568421072379,0.3126674619126883
0.32,0.876218229079413,-0.2808258342316476,0.3145665606161178
0.322,0.8756577719964169,-0.2795966854713464,0.3164644010537241
0.324,0.8750997712503058,-0.2783693978080788,0.3183609756341483
0.326,0.8745442232132102,-0.2771439732210579,0.3202562767710944
0.328,0.8739911242572608,-0.2759204136869502,0.3221502968833604
0.33,0.8734404707545879,-0.2746987211798597,0.3240430283948684
