"time","F12.F1.y","F12.F2.y","der(F12.F1.y)","der(F12.F2.y)","F12.F1.u","F12.F2.u"
4.3,0.6078134455171246,0.9559665254805714,-0.2539965637110966,-0.03165027999667698,-0.9161659367494549,0.6078134455171246
4.302,0.6073054151676495,0.9559031860292431,-0.2540451862326005,-0.03169070644196306,-0.9169657022279533,0.6073054151676495
4.304,0.606797288015434,0.9558397657049458,-0.2540931813100499,-0.03173113433541017,-0.9177617998448657,0.606797288015434
4.306,0.6062890652882377,0.9557762645017608,-0.25414054861734,-0.03177156356486574,-0.9185542264158021,0.6062890652882377
4.308,0.6057807482136824,0.9557126824139064,-0.25418728783079,-0.03181199401820218,-0.9193429787710575,0.6057807482136824
4.31,0.6052723380192395,0.9556490194357362,-0.2542333986291438,-0.03185242558331788,-0.9201280537556237,0.6052723380192395
4.312,0.6047638359322174,0.9555852755617394,-0.2542788806935699,-0.03189285814813837,-0.920909448229202,0.6047638359322174
4.314,0.6042552431797479,0.9555214507865399,-0.2543237337076605,-0.03193329160061746,-0.9216871590662149,0.6042552431797479
4.316,0.6037465609887744,0.9554575451048943,-0.2543679573574325,-0.03197372582873817,-0.9224611831558205,0.6037465609887744
4.318,0.6032377905860378,0.9553935585116922,-0.2544115513313268,-0.03201416072051404,-0.9232315174019233,0.6032377905860378
4.32,0.6027289331980642,0.9553294910019551,-0.2544545153202087,-0.03205459616399008,-0.9239981587231879,0.6027289331980642
4.322,0.602219990051153,0.9552653425708353,-0.2544968490173671,-0.03209503204724384,-0.9247611040530493,0.602219990051153
4.324,0.601710962371362,0.9552011132136156,-0.2545385521185149,-0.03213546825838669,-0.9255203503397275,0.601710962371362
4.326,0.6012018541908981,0.955136803243392,-0.2545796247895227,-0.03217590445931762,-0.9262758945462384,0.6012018541908981
4.328,0.600692669216434,0.9550724129365686,-0.2546200671444734,-0.03221634033819405,-0.9270277336504064,0.600692669216434
4.33,0.600183404118904,0.9550079417732652,-0.2546598781272966,-0.03225677615039647,-0.9277758646448755,0.600183404118904
4.332,0.5996740601567447,0.9549433897530655,-0.254699057448978,-0.0322972117814837,-0.9285202845371231,0.5996740601567447
4.334,0.5991646385889154,0.9548787568757727,-0.2547376048230643,-0.03233764711698703,-0.9292609903494705,0.5991646385889154
4.336,0.598655140674894,0.9548140431414106,-0.254775519965665,-0.0323780820424106,-0.929997979119096,0.598655140674894
4.338,0.5981455676746734,0.9547492485502223,-0.254812802595453,-0.03241851644323171,-0.9307312478980446,0.5981455676746734
4.34,0.5976359208487568,0.9546843731026715,-0.2548494524336666,-0.03245895020490133,-0.9314607937532425,0.5976359208487568
4.342,0.597126201458155,0.9546194167994424,-0.2548854692041104,-0.03249938321284431,-0.9321866137665075,0.597126201458155
4.344,0.59661641076438,0.9545543796414399,-0.2549208526331568,-0.03253981535245998,-0.9329087050345606,0.59661641076438
4.346,0.5961065500294448,0.954489261629789,-0.254955602449747,-0.0325802465091222,-0.9336270646690371,0.5961065500294448
4.348,0.5955966205158555,0.9544240627658367,-0.2549897183853926,-0.03262067656818011,-0.9343416897964998,0.5955966205158555
4.35,0.5950866234866102,0.9543587830511504,-0.2550232001741766,-0.0326611054149582,-0.9350525775584491,0.5950866234866102
4.352,0.5945765602051929,0.9542934224875189,-0.2550560475527546,-0.03270153293475691,-0.9357597251113351,0.5945765602051929
4.354,0.5940664319355716,0.9542279810769531,-0.2550882602603566,-0.03274195901285286,-0.9364631296265682,0.5940664319355716
4.356,0.5935562399421928,0.9541624588216849,-0.2551198380387873,-0.03278238353449929,-0.9371627882905312,0.5935562399421928
4.358,0.5930459854899779,0.9540968557241685,-0.2551507806324281,-0.03282280638492641,-0.9378586983045908,0.5930459854899779
4.36,0.5925356698443189,0.95403117178708,-0.2551810877882378,-0.03286322744934191,-0.9385508568851079,0.5925356698443189
4.362,0.5920252942710764,0.9539654070133177,-0.2552107592557541,-0.03290364661293102,-0.9392392612634485,0.5920252942710764
4.364,0.5915148600365728,0.9538995614060025,-0.2552397947870949,-0.03294406376085724,-0.9399239086859964,0.5915148600365728
4.366,0.59100436840759,0.9538336349684775,-0.2552681941369588,-0.0329844787782625,-0.9406047964141627,0.59100436840759
4.368,0.5904938206513646,0.953767627704309,-0.2552959570626271,-0.03302489155026767,-0.941281921724398,0.5904938206513646
4.37,0.5899832180355853,0.9537015396172862,-0.2553230833239644,-0.03306530196197281,-0.941955281908201,0.5899832180355853
4.372,0.5894725618283875,0.9536353707114212,-0.25534957268342,-0.03310570989845762,-0.9426248742721323,0.5894725618283875
4.374,0.5889618532983498,0.9535691209909498,-0.2553754249060289,-0.03314611524478182,-0.9432906961378233,0.5889618532983498
4.376,0.5884510937144903,0.9535027904603306,-0.255400639759413,-0.03318651788598548,-0.9439527448419879,0.5884510937144903
4.378,0.5879402843462623,0.9534363791242467,-0.2554252170137823,-0.03322691770708949,-0.9446110177364314,0.5879402843462623
